t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,72.957,nan,0.00
10.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
15.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
20.0,0.008,-0.000,0.001,0.000,72.962,0.007,0.00
25.0,0.014,0.001,0.001,0.000,72.966,0.013,0.01
30.0,-0.084,0.093,-0.093,0.079,72.983,0.016,0.14
35.0,-0.289,0.266,-0.296,0.251,73.006,0.017,0.41
40.0,-0.392,0.346,-0.402,0.341,73.011,0.011,0.54
45.0,-0.400,0.339,-0.402,0.341,73.001,0.003,0.55
50.0,-0.400,0.339,-0.402,0.341,73.001,0.003,0.55
55.0,-0.407,0.346,-0.402,0.341,73.003,0.007,0.56
60.0,-0.462,0.453,-0.448,0.441,73.059,0.019,0.68
65.0,-0.575,0.697,-0.561,0.684,73.193,0.019,0.95
70.0,-0.689,0.943,-0.675,0.930,73.330,0.018,1.22
75.0,-0.804,1.192,-0.791,1.179,73.468,0.018,1.50
80.0,-0.918,1.437,-0.906,1.428,73.606,0.015,1.76
85.0,-0.933,1.466,-0.917,1.452,73.621,0.022,1.79
90.0,-0.933,1.466,-0.917,1.452,73.621,0.021,1.79
95.0,-0.953,1.447,-0.924,1.430,73.594,0.034,1.82
100.0,-1.064,1.321,-1.005,1.285,73.427,0.069,1.99
105.0,-1.231,1.166,-1.160,1.116,73.206,0.087,2.23
110.0,-1.399,1.007,-1.325,0.956,72.979,0.090,2.45
115.0,-1.570,0.844,-1.494,0.794,72.748,0.091,2.69
120.0,-1.699,0.720,-1.624,0.669,72.573,0.091,2.87
125.0,-1.875,0.551,-1.799,0.499,72.334,0.092,3.11
130.0,-2.051,0.379,-1.976,0.327,72.093,0.091,3.36
135.0,-2.223,0.212,-2.146,0.162,71.858,0.092,3.60
140.0,-2.394,0.045,-2.320,-0.009,71.624,0.091,3.84
145.0,-2.542,-0.100,-2.468,-0.153,71.421,0.092,4.05
150.0,-2.716,-0.270,-2.639,-0.321,71.183,0.092,4.29
155.0,-2.891,-0.442,-2.813,-0.493,70.943,0.093,4.53
160.0,-3.062,-0.611,-2.988,-0.664,70.707,0.092,4.78
165.0,-3.235,-0.780,-3.158,-0.833,70.470,0.092,5.02
