t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,62.096,nan,0.00
10.0,0.002,-0.000,0.001,-0.000,62.097,0.001,0.00
15.0,0.002,-0.000,0.001,-0.000,62.098,0.001,0.00
20.0,0.005,-0.000,0.001,-0.000,62.100,0.004,0.00
25.0,-0.000,-0.012,0.001,-0.000,62.090,0.012,0.01
30.0,-0.035,-0.030,0.001,-0.000,62.051,0.047,0.05
31.4,-0.047,-0.037,0.001,-0.000,62.037,0.060,0.06
36.4,-0.086,-0.057,0.001,-0.000,61.993,0.103,0.10
41.4,-0.111,-0.067,0.001,-0.000,61.966,0.130,0.13
46.4,-0.113,-0.078,0.001,-0.000,61.959,0.138,0.14
51.4,-0.114,-0.085,0.001,-0.000,61.955,0.143,0.15
56.4,-0.066,0.009,0.045,0.093,62.044,0.140,0.25
61.4,0.041,0.233,0.155,0.323,62.253,0.145,0.50
63.2,0.078,0.309,0.189,0.395,62.324,0.141,0.58
67.8,0.164,0.487,0.276,0.575,62.490,0.142,0.78
72.8,0.166,0.494,0.276,0.575,62.496,0.136,0.79
77.8,0.165,0.494,0.276,0.575,62.496,0.137,0.79
82.8,0.163,0.490,0.276,0.575,62.492,0.141,0.79
87.8,0.159,0.483,0.276,0.575,62.485,0.148,0.80
92.8,0.258,0.600,0.369,0.692,62.630,0.144,0.94
95.4,0.336,0.699,0.449,0.792,62.749,0.147,1.08
99.3,0.438,0.825,0.549,0.917,62.901,0.145,1.24
104.3,0.588,1.012,0.700,1.104,63.128,0.145,1.47
109.3,0.734,1.194,0.845,1.285,63.348,0.143,1.71
114.3,0.889,1.386,1.000,1.478,63.581,0.145,1.95
119.3,0.911,1.423,1.025,1.509,63.619,0.143,2.00
124.3,0.906,1.429,1.025,1.510,63.618,0.144,2.00
127.7,0.903,1.433,1.025,1.510,63.618,0.144,2.01
130.7,0.879,1.436,1.005,1.510,63.599,0.146,2.03
135.7,0.662,1.438,0.792,1.512,63.416,0.150,2.26
140.7,0.440,1.427,0.569,1.500,63.223,0.148,2.48
145.7,0.214,1.411,0.345,1.484,63.023,0.150,2.70
150.7,-0.015,1.393,0.116,1.466,62.821,0.149,2.93
155.7,-0.192,1.379,-0.063,1.451,62.663,0.147,3.11
159.9,-0.274,1.370,-0.145,1.442,62.590,0.148,3.20
162.1,-0.316,1.366,-0.187,1.437,62.552,0.147,3.24
167.1,-0.413,1.354,-0.284,1.426,62.464,0.147,3.34
172.1,-0.510,1.343,-0.383,1.415,62.376,0.146,3.43
